user_id,timestamp,event_type,duration_seconds
u001,2024-01-15T08:23:11,click,45
u002,2024-01-15 09:14:32,page_view,120
u003,2024-01-15T10:05:00,click,-30
u004,2024-01-15T11:45:22,purchase,300
u005,15/01/2024 12:30:00,click,60
u006,2024-01-15T13:22:45,invalid_event,90
u007,2024-01-15T14:00:00,page_view,
u008,2024-01-15T15:30:10,click,75
u009,2024-01-15T16:45:00,purchase,450
u010,2024-01-15T17:00:00,page_view,0
u011,2024-01-16T08:10:05,click,30
u012,2024-01-16 09:25:15,purchase,600
u013,2024-01-16T10:40:00,page_view,180
u014,16/01/2024 11:55:30,click,55
u015,2024-01-16T13:05:45,unknown,200
u016,2024-01-16T14:20:00,purchase,900
u017,,click,40
u018,2024-01-16T16:35:10,page_view,150
u019,2024-01-16T17:50:00,click,25
u020,2024-01-16T18:00:00,purchase,-100
u021,2024-01-17T08:05:30,page_view,240
u022,2024-01-17T09:15:00,click,80
u023,2024-01-17 10:25:45,purchase,360
u024,2024-01-17T11:35:00,click,15
u025,17/01/2024 12:45:15,page_view,420
u026,2024-01-17T13:55:30,bad_type,110
u027,2024-01-17T15:05:00,purchase,750
u028,2024-01-17T16:15:45,click,35
u029,2024-01-17T17:25:00,page_view,190
u030,2024-01-17T18:35:10,click,0
u031,2024-01-18T08:00:00,purchase,480
u032,2024-01-18T09:10:30,page_view,135
u033,2024-01-18 10:20:00,click,70
u034,18/01/2024 11:30:45,purchase,1200
u035,2024-01-18T12:40:00,click,50
u036,2024-01-18T13:50:15,page_view,280
u037,2024-01-18T15:00:00,purchase,540
u038,2024-01-18T16:10:30,click,95
u039,2024-01-18T17:20:00,page_view,165
u040,2024-01-18T18:30:45,mystery_event,220
u041,2024-01-19T08:15:00,click,40
u042,2024-01-19T09:25:30,purchase,660
u043,2024-01-19 10:35:00,page_view,200
u044,19/01/2024 11:45:15,click,85
u045,2024-01-19T12:55:00,purchase,390
u046,2024-01-19T14:05:30,page_view,145
u047,2024-01-19T15:15:00,click,60
u048,2024-01-19T16:25:45,purchase,870
u049,2024-01-19T17:35:00,page_view,255
u050,2024-01-19T18:45:10,click,-5
u051,2024-01-20T08:20:00,purchase,510
u052,2024-01-20T09:30:30,page_view,175
u053,2024-01-20 10:40:00,click,65
u054,20/01/2024 11:50:15,purchase,990
u055,2024-01-20T13:00:00,click,45
u056,2024-01-20T14:10:30,page_view,310
u057,2024-01-20T15:20:00,purchase,630
u058,2024-01-20T16:30:45,click,110
u059,2024-01-20T17:40:00,page_view,185
u060,,purchase,720
u061,2024-01-21T08:25:00,click,55
u062,2024-01-21T09:35:30,page_view,230
u063,2024-01-21 10:45:00,purchase,420
u064,21/01/2024 11:55:15,click,75
u065,2024-01-21T13:05:00,page_view,160
u066,2024-01-21T14:15:30,purchase,810
u067,2024-01-21T15:25:00,click,30
u068,2024-01-21T16:35:45,page_view,270
u069,2024-01-21T17:45:00,purchase,570
u070,2024-01-21T18:55:10,junk,100
